weeknum,company,product,media_num,media_name,neg_pos,count
2015/36,hisense,drum,0,wiki,neg,3
2015/36,hisense,drum,0,wiki,pos,0
2015/36,hisense,drum,1,news,neg,1
2015/36,hisense,drum,1,news,pos,8
2015/36,hisense,drum,2,blog,neg,0
2015/36,hisense,drum,2,blog,pos,0
2015/36,hisense,drum,5,community,neg,0
2015/36,hisense,drum,5,community,pos,0
2015/36,hisense,drum,7,bbs,neg,1
2015/36,hisense,drum,7,bbs,pos,0
2015/36,hisense,drum,9,weibo,neg,0
2015/36,hisense,drum,9,weibo,pos,0
2015/36,hisense,drum,z,others,neg,0
2015/36,hisense,drum,z,others,pos,0
2015/36,lg,bolun,0,wiki,neg,2
2015/36,lg,bolun,0,wiki,pos,0
2015/36,lg,bolun,1,news,neg,0
2015/36,lg,bolun,1,news,pos,0
2015/36,lg,bolun,2,blog,neg,0
2015/36,lg,bolun,2,blog,pos,0
2015/36,lg,bolun,5,community,neg,0
2015/36,lg,bolun,5,community,pos,0
2015/36,lg,bolun,7,bbs,neg,0
2015/36,lg,bolun,7,bbs,pos,0
2015/36,lg,bolun,9,weibo,neg,0
2015/36,lg,bolun,9,weibo,pos,0
2015/36,lg,bolun,z,others,neg,0
2015/36,lg,bolun,z,others,pos,0
2015/36,lg,drum,0,wiki,neg,0
2015/36,lg,drum,0,wiki,pos,11
2015/36,lg,drum,1,news,neg,62
2015/36,lg,drum,1,news,pos,0
2015/36,lg,drum,2,blog,neg,0
2015/36,lg,drum,2,blog,pos,0
2015/36,lg,drum,5,community,neg,0
2015/36,lg,drum,5,community,pos,0
2015/36,lg,drum,7,bbs,neg,1
2015/36,lg,drum,7,bbs,pos,1
2015/36,lg,drum,9,weibo,neg,0
2015/36,lg,drum,9,weibo,pos,1
2015/36,lg,drum,z,others,neg,1
2015/36,lg,drum,z,others,pos,0
2015/36,sanyo,bolun,0,wiki,neg,2
2015/36,sanyo,bolun,0,wiki,pos,0
2015/36,sanyo,bolun,1,news,neg,0
2015/36,sanyo,bolun,1,news,pos,0
2015/36,sanyo,bolun,2,blog,neg,0
2015/36,sanyo,bolun,2,blog,pos,0
2015/36,sanyo,bolun,5,community,neg,0
2015/36,sanyo,bolun,5,community,pos,0
2015/36,sanyo,bolun,7,bbs,neg,0
2015/36,sanyo,bolun,7,bbs,pos,0
2015/36,sanyo,bolun,9,weibo,neg,0
2015/36,sanyo,bolun,9,weibo,pos,0
2015/36,sanyo,bolun,z,others,neg,0
2015/36,sanyo,bolun,z,others,pos,0
2015/36,sanyo,drum,0,wiki,neg,11
2015/36,sanyo,drum,0,wiki,pos,0
2015/36,sanyo,drum,1,news,neg,3
2015/36,sanyo,drum,1,news,pos,5
2015/36,sanyo,drum,2,blog,neg,0
2015/36,sanyo,drum,2,blog,pos,0
2015/36,sanyo,drum,5,community,neg,1
