date,detail,cash,credit,creditType,category,tag,waste
2010년06월30일,점심값,5000,0,,식비>평일점심,,
2010년06월30일,벌금,2000,0,,경조사/회비>기타,,
2010년07월01일,점심,5000,0,,식비>평일점심,,
2010년07월01일,골프레슨비,100000,0,,건강/문화>운동/레저,,
2010년07월02일,회비(한우회식),6000,0,,경조사/회비>모임회비,,
2010년07월02일,막걸리값 갚음,3000,0,,식비>커피/음료,,
2010년07월02일,점심,5000,0,,식비>평일점심,,
2010년07월02일,술값,29000,0,,식비>술/유흥,,
2010년07월03일,술값,0,40500,LIG 손해보험-현,식비>술/유흥,,
2010년07월03일,담배값,2500,0,,용돈/기타>담배,,
2010년07월03일,게임방,3500,0,,건강/문화>기타,,
2010년07월03일,버거킹,7000,0,,식비>외식,,
2010년07월04일,음료수,2000,0,,식비>커피/음료,,
2010년07월04일,영화,0,18000,LIG 손해보험-현,건강/문화>문화생활,,
2010년07월04일,스무디킹,10800,0,,식비>커피/음료,,
2010년07월04일,폴로티,25600,0,,의복/미용>의류비,,
2010년07월04일,담배값,2500,0,,용돈/기타>담배,,
2010년07월05일,점심,5000,0,,식비>평일점심,,
2010년07월06일,점심(with 미팅),15000,0,,식비>평일점심,,
2010년07월07일,점심,4500,0,,식비>평일점심,,
2010년07월07일,담배,2500,0,,용돈/기타>담배,,
2010년07월07일,슬리퍼,4000,0,,생활용품>기타,,
2010년07월08일,커피,2000,0,,식비>커피/음료,,
2010년07월09일,택시비(회사),0,237600,LIG 손해보험-현,교통/차량>택시비C,회사경비,
2010년07월09일,택시비(개인),0,80400,LIG 손해보험-현,교통/차량>택시비C,,
2010년07월09일,대중교통비정산,0,64300,LIG 손해보험-현,교통/차량>대중교통비,,
2010년07월10일,담배,2500,0,,용돈/기타>담배,,
2010년07월10일,술값,27000,0,,식비>술/유흥,,
2010년07월12일,담배,2500,0,,용돈/기타>담배,,
2010년07월15일,보험료,270000,0,,저축/보험>보험,,
2010년07월15일,점심값,12000,0,,식비>평일점심,,
2010년07월17일,오리고기,0,29000,LIG 손해보험-현,식비>외식,,
2010년07월17일,기름값,0,20000,LIG 손해보험-현,교통/차량>주유비,,
2010년07월18일,술값,34000,0,,식비>술/유흥,,
2010년07월18일,게임방,4000,0,,건강/문화>기타,,
2010년07월18일,당구비,4000,0,,건강/문화>기타,,
2010년07월18일,아이스크림,2000,0,,식비>간식,,
2010년07월19일,여명808,5000,0,,식비>커피/음료,,
2010년07월19일,점심,6000,0,,식비>평일점심,,
2010년07월20일,케익,5000,0,,경조사/회비>기타,,
2010년07월21일,점심,5000,0,,식비>평일점심,,
2010년07월21일,면도날,11400,0,,생활용품>잡화소모,,
2010년07월21일,아이스크림,3000,0,,식비>간식,,
2010년07월22일,연금(LIG),148500,0,,저축/보험>연금,고정비용,
2010년07월22일,음료수,1800,0,,식비>커피/음료,,
2010년07월22일,담배,2500,0,,용돈/기타>담배,,
