"날짜","yearMonth","category1","category2","detail","현금","카드","카드분류","total","type","totalExpenditure","totalIncome","totalSave"
"2010-07-01","2010-07","식비","평일점심","점심",5000,0,NA,5000,"expenditure",5000,0,0
"2010-07-01","2010-07","건강/문화","운동/레저","골프레슨비",1e+05,0,NA,1e+05,"expenditure",1e+05,0,0
"2010-07-02","2010-07","경조사/회비","모임회비","회비(한우회식)",6000,0,NA,6000,"expenditure",6000,0,0
"2010-07-02","2010-07","식비","커피/음료","막걸리값 갚음",3000,0,NA,3000,"expenditure",3000,0,0
"2010-07-02","2010-07","식비","평일점심","점심",5000,0,NA,5000,"expenditure",5000,0,0
"2010-07-02","2010-07","식비","술/유흥","술값",29000,0,NA,29000,"expenditure",29000,0,0
"2010-07-03","2010-07","식비","술/유흥","술값",0,40500,"LIG 손해보험-현",40500,"expenditure",40500,0,0
"2010-07-03","2010-07","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-07-03","2010-07","건강/문화","기타","게임방",3500,0,NA,3500,"expenditure",3500,0,0
"2010-07-03","2010-07","식비","외식","버거킹",7000,0,NA,7000,"expenditure",7000,0,0
"2010-07-04","2010-07","식비","커피/음료","음료수",2000,0,NA,2000,"expenditure",2000,0,0
"2010-07-04","2010-07","건강/문화","문화생활","영화",0,18000,"LIG 손해보험-현",18000,"expenditure",18000,0,0
"2010-07-04","2010-07","식비","커피/음료","스무디킹",10800,0,NA,10800,"expenditure",10800,0,0
"2010-07-04","2010-07","의복/미용","의류비","폴로티",25600,0,NA,25600,"expenditure",25600,0,0
"2010-07-04","2010-07","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-07-05","2010-07","식비","평일점심","점심",5000,0,NA,5000,"expenditure",5000,0,0
